"Site","FireFreq","meanSeed","meanHeight","meanN","meanLMA","meanDensity","CV_Seed","CV_Height","CV_N","CV_LMA","CV_Density","n","logRR_Seed1","logRR_Seed","logRR_v_Seed","logRR_Height1","logRR_Height","logRR_v_Height","logRR_N1","logRR_N","logRR_v_N","logRR_LMA1","logRR_LMA","logRR_v_LMA","logRR_Density1","logRR_Density","logRR_v_Density","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"KrugerSatara",1,7.19198293633266,0.468711618907861,2.07640311801275,10.1454474622057,0.0696839297243407,0.870190228368482,0.30942635919997,0.149597299033024,0.158629067578395,0.20539768747249,4,0.0527638823963394,0.136111880709659,0.230093879725064,-0.226630768537776,-0.236536405867256,0.0689269999777658,0.0312838532127764,0.0326617476236948,0.00845356832313515,0.246482794737303,0.24810798355969,0.00935562201785534,0.279456126766795,0.28189412192291,0.0162898153287584,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0.3333333,31.3332928897938,0.470727499033114,1.37984505382269,8.45544875490575,0.046279486323854,0.740595999716887,0.1847979004918,0.128913124399439,0.15122027645732,0.145581213610348,20,1.07611774906209,1.14051313895624,0.0703166331418653,0.186153323218001,0.188420050501873,0.0219299395511576,0.257064777045392,0.258525035174864,0.00702097418958926,0.412272734893653,0.414880554545803,0.00365344144206337,0.27633372038733,0.27797443585046,0.0111963192338563,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",0.5,31.5679747735863,0.49444158898086,1.30442182117543,7.81548164604929,0.0436443308818387,0.700409568227245,0.240716780483525,0.156651559845558,0.150727924053364,0.173227784349219,20,1.08357969637877,1.14073647733137,0.067345976364863,0.235302977659634,0.240543992991028,0.0231223939357599,0.200853457710533,0.203303855534959,0.00741743759228435,0.333568271214594,0.336157507751445,0.00364599972455581,0.217708314581338,0.220450776983752,0.0116375821233391,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSkukuza",1,39.7803957360345,0.497029733164815,1.3916405158631,8.72020093267967,0.0474972264194757,0.561278964397007,0.334735985337415,0.161518880951477,0.135356034252578,0.190009723798202,4,1.31481076770413,1.33336545491127,0.124376441299143,0.240523804535619,0.244519548423593,0.0486253508508344,0.265576842480343,0.265752555714169,0.0127330553222455,0.443103958661769,0.444140981416202,0.00710021282448522,0.302306235601994,0.30177659371221,0.0192027207043883,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"Lamto",0.05555556,34.4696743669231,0.723461538461538,5.73076923073077,23.5024239430769,0.179787769234615,NA,NA,NA,NA,NA,1,-0.603869276059721,-0.603869276059721,NA,-0.623812487158881,-0.623812487158881,NA,-0.696497267451939,-0.696497267451939,NA,-0.568589864891864,-0.568589864891864,NA,-0.694326936005505,-0.694326936005505,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.08823529,27.6100588279412,0.910294117647059,11.5,41.5,0.36,NA,NA,NA,NA,NA,1,-0.825769053074352,-0.825769053074352,NA,-0.394092117935894,-0.394092117935894,NA,0,0,NA,0,0,NA,0,0,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.9166667,36.8957777875,1.01666666666667,8.125,28.4277426166667,0.36,NA,NA,NA,NA,NA,1,-0.535852088292628,-0.535852088292628,NA,-0.283575290499127,-0.283575290499127,NA,-0.347401307153403,-0.347401307153403,NA,-0.37832790618007,-0.37832790618007,NA,0,0,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",0.9444444,31.6796148155556,1.52222222222222,23,83,0.72,NA,NA,NA,NA,NA,1,-0.688275801416885,-0.688275801416885,NA,0.120066663047522,0.120066663047522,NA,0.693147180559945,0.693147180559945,NA,0.693147180559945,0.693147180559945,NA,0.693147180559945,0.693147180559945,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Lamto",1,38.4965848816519,1.39082491582492,NA,NA,NA,0.230643051820266,0.601551269357196,NA,NA,NA,3,-0.49337967670271,-0.49337967670271,NA,0.0297924432840167,0.0297924432840167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Savanna",2137,26.3497085571289,67.2066345214844,15065,36,"Afr"
"Marondera",0.25,144.426273260421,6.27257709540184,9.9206920693991,48.6979341608177,0.191032011139908,0.43640795043475,0.491650155191162,0.662701366572406,0.283706874962166,0.379095824372583,7,-0.269573979294484,-0.227835722268345,0.0695461118552439,-0.497477937904146,-0.44303837805695,0.0779396648641543,-0.00502382335317126,0.0988515852382394,0.106990191583527,-0.0082389983983241,0.00610932578734452,0.0527999638313653,-0.382412579710405,-0.352302479009582,0.0622988359157879,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.33,192.047957908195,9.06111779643229,11.8707053331512,61.50539221087,0.267378153668538,0.739821591867346,0.936419800556049,0.796422115220662,0.49012106392169,0.794930900870046,6,0.015401984620038,0.145382144164707,0.137352027893965,-0.12967273856947,0.0825589617332631,0.199638525966581,0.17442712107478,0.326094989634625,0.153585581396857,0.225249241303098,0.278567486498578,0.0820732442077561,-0.0461896290455193,0.105001126545078,0.152422819566209,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",0.5,257.487395893687,13.7009523808271,14.5468749999319,75.3742693649377,0.393415887550006,0.543019160267523,0.567775448303245,0.43374166305644,0.375369036418252,0.489484854761772,4,0.308627633930549,0.372064329929539,0.118403159467272,0.283800119162897,0.353909143463449,0.126651839464175,0.377729686635834,0.414406377438636,0.0904220922667399,0.428590353774817,0.45371120345603,0.0770812384838737,0.340013699065558,0.389730511777469,0.103250356419606,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Marondera",1,337.7777778,18,NA,406.504065,0.73752,0,0,NA,0,0,2,0.580045080140267,0.559483567929425,0.0419685759904772,0.556706529792477,0.535740098545604,0.042812044972205,NA,NA,NA,2.11371832104647,2.09350906365812,0.0412353429450944,0.968439615185068,0.948075529088313,0.041557564198622,"Savanna",802,17.824104309082,103.266510009766,4253,54,"Afr"
"Morton",0.333333333,31,31.6,17,95,0.6018,NA,NA,NA,NA,NA,1,0.766872436593528,0.766872436593528,NA,1.88551980135028,1.88551980135028,NA,0.673775102384978,0.673775102384978,NA,1.57126864002537,1.57126864002537,NA,0.818644749758673,0.818644749758673,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,20.5837786471786,6.82967687096429,5.85714285714286,14.7142857142857,0.12642642575,NA,NA,NA,NA,NA,1,0.357388553395072,0.357388553395072,NA,0.353640042966816,0.353640042966816,NA,-0.391776324022243,-0.391776324022243,NA,-0.293789412400844,-0.293789412400844,NA,-0.741619890097599,-0.741619890097599,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Peachester North",0.210526316,2.25239613863478,7.49270287465963,4.52177795621749,196.23844460309,0.257230786435738,0.199074215584636,0.048547757516844,0.261291280664394,0.0652802682187849,0.00819160832827972,2,0.697494313318286,0.706795491644094,0.021225244735811,0.281700835060943,0.282159861228487,0.00143956068953556,0.233541579758635,0.25059410689101,0.0347507321752039,0.691306625017035,0.667848658457045,0.0523825054923807,0.283524716653148,0.283521025685445,7.44857830156658e-05,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"Peachester North",0.447368421,3.21217655200812,6.29630648318401,3.82033542976939,158.411854624403,0.257163657406072,0.50707627295815,0.490969173187908,0.0664528820945612,0.806722768758869,0.0133316373603032,2,1.05244847420766,1.1161236033551,0.138041068647967,0.107734427149273,0.167866914382043,0.128048970201949,0.0649745377157672,0.0660627778950011,0.00224194329275641,0.477174467471924,0.615351528965749,0.428593136028911,0.283263714494784,0.283287681054006,0.000129804222632337,"Forest",1501,19.8246669769287,48.7363090515137,9012,40,"Aus"
"TallTimbers",0.5,10.1752282500035,20.0072007433011,5.77300076948837,64.0008704555582,0.249525185590017,0.0997608951610388,0.0359818975021932,0.00701946996028899,0.0327033285652048,0.00671138439132907,4,-2.02706272888939,-2.03871275430633,0.0286117774601757,1.39358906658592,1.37120714485432,0.0464276864458222,1.06215815055799,1.05440515533496,0.0156510359534245,1.4551113763086,1.43683352002197,0.0377684721281964,1.11441264288967,1.10446905670451,0.0201076675926776,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"UniversityMissouri",0.25,428.359629966523,7.02742284817308,5.05864381122662,19.49135739991,0.209779046707449,0.367834150247213,0.374355665261911,0.438036333214732,0.341323695707055,0.505916488169392,4,0.259192507174552,0.274104592742033,0.0384068970920273,0.2539729563207,0.26965717877246,0.039323105517896,0.285621107593577,0.307856482594554,0.0526237937657346,0.245034383646709,0.257550823787236,0.0336505733686883,0.341282505767972,0.370760131551826,0.0710803825351728,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
