oldspec,WoodDensity (g/cm3),LMA,LeafNitrogen,MaxHeight,DrySeedMass(mg),MaxTrunkDiameter,Serotiny,reseedtime,reseedsite,Btat20,RootResprout,Adventitious bud,Sites,Symbiosis,FireTolerance,DroughtTolerance,C:Ngreen_observed,C:Nsenes_observed,C:Nroots_observed,C:Pgreen_observed,C:Psenes_observed,C:Proots_observed,Barkat10cm
Commiphora neglecta,0.417,81.16224332,28.5,9,104.09,0.0643,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commiphora pyracanthoides,0.34626,73.28865094,23,2.8,62.31,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commiphora schimperi,0.34626,65.41505855,28.5,6,124.96,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commiphora tenuipetiolata,0.34626,73.28865094,34,5,78.31,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordia monoica,NA,NA,NA,5.9,124.795,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordia sinensis,NA,NA,NA,4,112.6864286,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus florida ,0.64,43,15,10,98,0.102,NA,NA,0,16.4,1,NA,>90% forest,am,2,1,27.68136384,60.41791044,36.86980684,274.2154703,427.9069767,318.8260715,10.414
Cornus nuttallii,0.58,29,15,17.3,99.4198949,0.1375,NA,NA,NA,7.94172275,1,1,>90% forest,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Corymbia citriodora,0.815573409,150,16,16,5.664482902,1.5,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia intermedia,0.7971673,150,10,18,6.247540704,NA,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus crus-galli,0.62,31,25,10,135.0288569,0.381,NA,NA,NA,NA,NA,NA,NA,am,2,3,NA,NA,NA,NA,NA,NA,NA
Crataegus engelmannii,0.62,31,25,6,35.25,0.015,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus spp.,0.62,31,25,7.9,35.25,0.381,NA,NA,NA,4.0299386,NA,NA,NA,NA,NA,NA,20.24982467,39.41702917,31.53711696,230.5331663,348.7968026,336.8779248,9.652
Crataegus viridis,0.62,31,25,10,22.64492754,0.0759,NA,NA,NA,NA,NA,NA,NA,am,1,1,NA,NA,NA,NA,NA,NA,NA
Croton gratissimus,0.499,NA,NA,12,27,0.107,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cussonia,0.4,120,16,2.7,21,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalbergia melanoxylon,1.077326923,128.0532702,33,7,78.20363636,0.3,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichrostachys cinerea,0.9001,130,25,4.7,29.13888889,NA,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros lycioides,0.694735556,130.7189542,17,2.4,113.13,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros mespiliformis,0.701606667,321.5434084,21.33333333,6.9,381.25,0.0379,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros virginiana,0.7106,89,28,19.125,339.8101804,NA,NA,NA,NA,NA,NA,NA,NA,am,1,0,NA,NA,NA,NA,NA,NA,NA
Diospyros whyteana,0.672,84.51697631,19,12,127.63,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dombeya rotunda,NA,83,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia obtusifolia,0.465,NA,23,5.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia rigida,0.465,NA,23,6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ekebergia benguelensis,0.50799,NA,NA,10,NA,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus acmenoides,0.86961,212.8143875,12,30,4.184044129,0.315,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus biturbinata,0.974,328.8612916,12.6,35,0.32,NA,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus exserta,0.86961,328.8612916,12.6,25,3.078327138,0.244,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus fibrosa,0.96432,207.8869906,12.6,30,3.263455013,NA,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus microcorys,0.836356952,328.8612916,12.6,45,1.486424213,0.555,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus moluccana,0.948375433,328.8612916,11,30,1.651647394,NA,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus pilularis,0.754123162,904.0430436,11,26,6.424071429,0.258,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus racemosa,0.807290056,219.5620362,13,15,13.99470109,0.138,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus resinifera,0.806560286,328.8612916,12.6,40,2.593810546,NA,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus siderophloia,0.951155778,328.8612916,12.6,60,1.23775188,2,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus tereticornis,0.818617048,100,16,25,0.814760879,1.0554,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euclea divinorum,0.7749,161.6867864,NA,6,89.24166667,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euclea natalensis,0.813645,NA,12,4.6,139.96,0.46,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fagus grandifolia,0.615,25,25.79210902,32.63636364,257.0674601,0.104,NA,NA,0,4.1,1,NA,>90% forest,NA,2,3,NA,NA,NA,NA,NA,NA,NA
Faurea saligna,0.64575,156.9119724,NA,20,6.13,0.6,NA,NA,NA,NA,NA,NA,NA,nm,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficus sycomorus,0.42189,NA,NA,18,1.653333333,0.1839,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flacourtia indica,0.736755,35.65062389,NA,6.3,91.16666667,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flueggea virosa,NA,101.2658228,34,5.5,2.78,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus,0.538,80,22,18,20,0.1115,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fraxinus americana,0.595,33,23,23.4,38.70243648,NA,NA,NA,NA,NA,NA,NA,NA,am,2,1,NA,NA,NA,NA,NA,NA,NA
Fraxinus latifolia,0.54,NA,NA,22,44.59784769,0.2818,NA,NA,NA,7.5998578,NA,NA,NA,NA,2,1,19.28697963,62.44343891,25.74684228,191.021993,262.8571429,206.9056602,10.414
Fraxinus pennsylvanica,0.6018,95,17,31.6,31,0.2818,NA,NA,NA,NA,NA,NA,NA,am,2,2,NA,NA,NA,NA,NA,NA,NA
Gardenia volkensii,NA,NA,NA,10,24.545,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossypium herbaceum,NA,NA,22,1.1,56,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grewia damine,0.75768,102.0824826,NA,6.096,96.70857143,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grewia flava,0.75768,187.2659176,26,2,100.03,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grewia flavescens,0.75768,72.44277021,29,5,121.165,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grewia hexamita,0.75768,120.5970568,17,3.2,642.67,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grewia monticola,0.75768,139.241499,19,7.1,140.76,0.0422,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grewia villosa,0.75768,120.5970568,22,1.7,73.305,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnocladus dioica,0.605,43.15925766,11,27,1780.604592,NA,NA,NA,NA,NA,1,NA,NA,am,1,2,NA,NA,NA,NA,NA,NA,NA
Gymnosporia heterophylla,0.495075,148.1939995,11,5,7.67,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnosporia senegalensis,NA,150,12,2.9,7.685,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halesia carolina,0.42,NA,NA,18.8,278.3668438,0.1115,NA,NA,NA,8.6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Heteropyxis natalensis,0.64575,NA,NA,10,0.08,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippobromus pauciflorus,NA,113.8952164,21,5,46.93,0.2,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyperacanthus amoenus,NA,88.73114463,35,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilex decidua,0.5,50,11,8.6,8.507272727,NA,NA,NA,NA,NA,NA,NA,NA,am,3,1,32.01856148,30.08866132,37.495296,321.0974878,711.2341762,334.1081888,10.668
Ilex opaca,0.5,91,11,19.125,17.1086474,NA,NA,NA,NA,NA,NA,NA,NA,am,1,2,36.77398691,30.08866132,43.83979414,657.1428571,711.2341762,334.1081888,10.668
Jasminum fluminense,NA,93.2,20,9.144,91,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
